token,pos,count
경제,NNG,11
물가,NNG,7
유지,NNG,6
세계,NNG,5
GDP,NNG,5
제외,NNG,5
지속,NNG,5
자료,NNG,5
상승률,NNG,5
금리,NNG,4
수준,NNG,4
전기비,NNG,4
위험,NNG,4
유로지역,NNG,4
한국은행,NNG,4
통화정책,NNG,4
투자,NNG,4
기준금리,NNG,3
경기,NNG,3
기준,NNG,3
방향,NNG,3
회복세,NNG,3
완만,NNG,3
소비자,NNG,3
정책,NNG,3
지방,NNG,3
국내,NNG,3
건설,NNG,3
따른,VV,3
농산물,NNG,3
대비,NNG,3
미국,NNG,3
광역시,NNG,3
전년,NNG,3
지정학,NNG,3
성장률,NNG,2
석유,NNG,2
기타,NNG,2
성장세,NNG,2
배경,NNG,2
범위,NNG,2
생산,NNG,2
동기,NNG,2
등락,NNG,2
금융시장,NNG,2
공공,NNG,2
관련,NNG,2
성장,NNG,2
설비,NNG,2
or,SL,2
금융통화위원회,NNG,2
기말,NNG,2
감소,NNG,2
소비,NNG,2
실물,NNG,2
소폭,MAG,2
수출,NNG,2
월비,NNG,2
유입,NNG,2
외국인,NNG,2
요인,NNG,2
수도권,NNG,2
주가,NNG,2
전망,NNG,2
하락,NNG,2
주택매매가격,NNG,2
운용,NNG,2
변화,NNG,2
부진,NNG,2
Tel,SL,2
bok,SL,2
kr,SL,2
Bloomberg,SL,2
활동,NNG,2
환율,NNG,2
행정,NNG,2
전월,NNG,2
대전,NNP,1
대규모,NNG,1
노력,NNG,1
낮추,VV,1
고용,NNG,1
CEIC,SL,1
대구,NNP,1
달러,NNG,1
기조,NNG,1
기자간담회,NNG,1
기인,NNG,1
기성액,NNG,1
기간,NNG,1
기대심리,NNG,1
국민은행,NNP,1
금융경제,NNG,1
국방,NNG,1
근원,NNG,1
공업,NNG,1
공보실,NNP,1
광주,NNP,1
교차,NNG,1
국가,NNG,1
국고채,NNG,1
결정시,NNG,1
결정,NNG,1
계속,MAG,1
공보,NNG,1
가하,VV,1
각각,MAG,1
cschang,SL,1
http,SL,1
KOSPI,NNG,1
CDS,NNG,1
www,SL,1
가운데,NNG,1
mail,SL,1
bp,SL,1
Fax,SL,1
CD,NNG,1
서비스업,NNG,1
설비투자지수,NNG,1
상당기간,NNG,1
사회보장,NNG,1
상승,NNG,1
상승세,NNG,1
상황,NNG,1
서비스,NNG,1
부각,NNG,1
부문,NNG,1
부산,NNP,1
분기,NNG,1
불확실성,NNG,1
붙임,NNG,1
비연,NNG,1
사라지,VV,1
벗어나,VV,1
보이,VV,1
보였으며,VV,1
보도자료,NNG,1
농축수산물,NNG,1
다음,NNG,1
동월,NNG,1
더딘,VA,1
만기,NNG,1
마이너스,NNG,1
따라,VV,1
면밀,NNG,1
목표,NNG,1
모습,NNG,1
민간,NNG,1
바랍니다,VV,1
나머지,NNG,1
긴축,NNG,1
나타내,VV,1
나타,NNG,1
연휴,NNG,1
요금,NNG,1
영향,NNG,1
예상,NNG,1
유럽,NNG,1
위험요인,NNG,1
월평균,NNG,1
유사,NNG,1
의한,VV,1
약한,VA,1
약화,NNG,1
원달러환율,NNG,1
우리나라,NNG,1
신흥시장국,NNG,1
시장,NNG,1
시계,NNG,1
압력,NNG,1
아일랜드,NNG,1
아파트,NNG,1
안정,NNG,1
에너지,NNG,1
식료품,NNG,1
수치,NNG,1
스페인,NNG,1
수요,NNG,1
수록,NNG,1
소매,NNG,1
소멸,NNG,1
저성장,NNG,1
재정위기,NNG,1
재정,NNG,1
장정수,NNP,1
장기,NNG,1
잠재력,NNG,1
자금,NNG,1
임시,NNG,1
일부,NNG,1
일평균,NNG,1
일정,NNG,1
일용직,NNG,1
인플레이션율,NNG,1
일본,NNG,1
인플레이션,NNG,1
인터넷,NNG,1
울산,NNP,1
이탈리아,NNG,1
이어지,VV,1
제조업,NNG,1
중기,NNG,1
주택,NNG,1
주택가격,NNG,1
중국,NNG,1
주식,NNG,1
주로,MAG,1
제품,NNG,1
제도,NNG,1
점검,NNG,1
전세가격,NNG,1
전기,NNG,1
전년동기비,NNG,1
참조,NNG,1
차장,NNP,1
집세,NNG,1
지표,NNG,1
지역,NNG,1
증가,NNG,1
증감,NNG,1
증대,NNG,1
취업자수증감,NNG,1
취업자수,NNG,1
채권투자,NNG,1
총괄팀,NNP,1
축소,NNG,1
취급,NNG,1
최근,NNG,1
축산물,NNG,1
포시,NNG,1
포르투갈,NNG,1
판매,NNG,1
투자자금,NNG,1
통화정책국,NNP,1
통관,NNG,1
하방,NNG,1
프리미엄,NNG,1
해외,NNG,1
한편,NNG,1
하락세,NNG,1
확대,NNG,1
향후,MAG,1
회복,NNG,1
효과,NNG,1
훼손,NNG,1
