token,pos,count
경제,NNG,11
물가,NNG,7
경기,NNG,5
금리,NNG,5
GDP,NNG,5
유지,NNG,5
자료,NNG,5
상승률,NNG,5
국제,NNG,4
통화정책,NNG,4
전기비,NNG,4
제외,NNG,4
지속,NNG,4
유로지역,NNG,4
금융시장,NNG,4
부진,NNG,4
한국은행,NNG,4
둔화,NNG,4
기준금리,NNG,3
광역시,NNG,3
기준,NNG,3
방향,NNG,3
전년,NNG,3
정책,NNG,3
대비,NNG,3
지방,NNG,3
세계,NNG,3
영향,NNG,3
소비자,NNG,3
수준,NNG,3
하락,NNG,3
kr,SL,2
배경,NNG,2
계속,MAG,2
건설,NNG,2
공공,NNG,2
Bloomberg,SL,2
보였,VV,2
미국,NNG,2
동기,NNG,2
or,SL,2
서비스업,NNG,2
상황,NNG,2
생산,NNG,2
선진국,NNG,2
수도권,NNG,2
수출,NNG,2
성장률,NNG,2
성장세,NNG,2
석유,NNG,2
안정,NNG,2
투자,NNG,2
실물,NNG,2
예상,NNG,2
월비,NNG,2
운용,NNG,2
변화,NNG,2
국내,NNG,2
금융통화위원회,NNG,2
국내외,NNG,2
기타,NNG,2
기말,NNG,2
IMF,SL,2
bok,SL,2
가운데,NNG,2
Tel,SL,2
주가,NNG,2
회복세,NNG,2
행정,NNG,2
환율,NNG,2
전망,NNG,2
주택매매가격,NNG,2
기간,NNG,1
광주,NNP,1
관련,NNG,1
공보실,NNP,1
공보,NNG,1
곡물,NNG,1
공공요금,NNG,1
고령,NNG,1
고용,NNG,1
결정시,NNG,1
경상,NNG,1
계경,NNG,1
www,SL,1
가격변수,NNG,1
가격,NNG,1
견실,NNG,1
결정,NNG,1
World,SL,1
bp,SL,1
leeshng,SL,1
mail,SL,1
기자간담회,NNG,1
기성액,NNG,1
근원,NNG,1
금융경제,NNG,1
기대심리,NNG,1
KOSPI,NNG,1
Economic,SL,1
http,SL,1
Outlook,SL,1
CD,NNG,1
CDS,NNG,1
Fax,SL,1
분기,NNG,1
부산,NNP,1
부문,NNG,1
보였으며,VV,1
보도자료,NNG,1
목표,NNG,1
바랍니다,VV,1
민간,NNG,1
모습,NNG,1
등락,NNG,1
따른,VV,1
리스크,NNG,1
마이너스,NNG,1
매우,MAG,1
머물,VV,1
면밀,NNG,1
달러,NNG,1
도크,NNG,1
대전,NNP,1
대구,NNP,1
당분간,MAG,1
동월,NNG,1
기상,NNG,1
나머지,NNG,1
나타났,VV,1
낮추,VV,1
내수,NNG,1
노력,NNG,1
농산물,NNG,1
농축수산물,NNG,1
다소,MAG,1
다음,NNG,1
교역,NNG,1
국가,NNG,1
국민은행,NNP,1
국방,NNG,1
국고채,NNG,1
국도,NNG,1
설비,NNG,1
설비투자지수,NNG,1
신흥시장국,NNG,1
심화,NNG,1
시계,NNG,1
수치,NNG,1
시장,NNG,1
식료품,NNG,1
신흥시장,NNG,1
소매,NNG,1
수지,NNG,1
수정,NNG,1
소비,NNG,1
수록,NNG,1
성장,NNG,1
사회보장,NNG,1
상당기간,NNG,1
상대국,NNG,1
서비스,NNG,1
상승세,NNG,1
상승,NNG,1
붙임,NNG,1
비연,NNG,1
불구,NNG,1
불확실성,NNG,1
불안,NNG,1
이탈리아,NNG,1
이상,NNG,1
유가,NNG,1
유럽,NNG,1
위험요인,NNG,1
월평균,NNG,1
울산,NNP,1
원달러환율,NNG,1
에너지,NNG,1
완만,NNG,1
아일랜드,NNG,1
아파트,NNG,1
안정세,NNG,1
압력,NNG,1
약화,NNG,1
양호,NNG,1
스페인,NNG,1
전세가격,NNG,1
재정위기,NNG,1
전년동기비,NNG,1
전세계,NNG,1
제의,NNG,1
제조업,NNG,1
전기,NNG,1
일평균,NNG,1
일본,NNG,1
인하,NNG,1
장기,NNG,1
인플레이션율,NNG,1
인상,NNG,1
인플레이션,NNG,1
인터넷,NNG,1
증가세,NNG,1
중심,NNG,1
중기,NNG,1
중국,NNG,1
주택가격,NNG,1
주택,NNG,1
주요,NNG,1
주로,MAG,1
점검,NNG,1
참조,NNG,1
차장,NNP,1
증대,NNG,1
지수,NNG,1
지역,NNG,1
지표,NNG,1
증감,NNG,1
통화정책국,NNP,1
통관,NNG,1
취업자수증감,NNG,1
취업자수,NNG,1
총괄팀,NNP,1
취급,NNG,1
포시,NNG,1
판매,NNG,1
한편,NNG,1
프리미엄,NNG,1
포르투갈,NNG,1
해외,NNG,1
확대,NNG,1
향후,MAG,1
활동,NNG,1
흑자,NNG,1
