token,pos,count
경제,NNG,10
물가,NNG,7
GDP,NNG,5
금리,NNG,5
미국,NNG,5
유지,NNG,5
자료,NNG,5
세계,NNG,5
제외,NNG,5
상승률,NNG,5
기준금리,NNG,4
수도권,NNG,4
농산물,NNG,4
투자,NNG,4
전기비,NNG,4
한국은행,NNG,4
통화정책,NNG,4
금융시장,NNG,3
건설,NNG,3
대비,NNG,3
기준,NNG,3
축소,NNG,3
석유,NNG,3
소비자,NNG,3
전년,NNG,3
전월,NNG,3
정책,NNG,3
방향,NNG,3
한국감정원,NNP,3
회복세,NNG,3
지속,NNG,3
공공,NNG,2
Tel,SL,2
가격,NNG,2
관련,NNG,2
경기,NNG,2
kr,SL,2
성장률,NNG,2
서비스업,NNG,2
양적완화,NNG,2
실물,NNG,2
생산,NNG,2
성장,NNG,2
소비,NNG,2
성장세,NNG,2
설비,NNG,2
유로지역,NNG,2
일본,NNG,2
완만,NNG,2
월비,NNG,2
가능성,NNG,2
Bloomberg,SL,2
변화,NNG,2
행정,NNG,2
하락,NNG,2
지수,NNG,2
증가,NNG,2
주가,NNG,2
중국,NNG,2
포함,NNG,2
환율,NNG,2
전망,NNG,2
수출,NNG,2
운용,NNG,2
예상,NNG,2
주요국,NNG,2
주택매매가격,NNG,2
조기,NNG,2
제조업,NNG,2
국내,NNG,2
금융통화위원회,NNG,2
국제,NNG,2
배경,NNG,2
상승,NNG,2
기말,NNG,2
동기,NNG,2
bok,SL,2
or,SL,2
결정시,NNG,1
경제정책,NNG,1
경우,NNG,1
가스,NNG,1
가운데,NNG,1
감소,NNG,1
건전화,NNG,1
광주,NNP,1
광역시,NNG,1
공업,NNG,1
공보실,NNP,1
공급측면,NNG,1
공보,NNG,1
계속,MAG,1
고용,NNG,1
결정,NNG,1
Fax,SL,1
CD,NNG,1
CEIC,SL,1
mail,SL,1
http,SL,1
KOSPI,NNG,1
www,SL,1
상당폭,NNG,1
상당기간,NNG,1
사회보장,NNG,1
비연,NNG,1
불확실성,NNG,1
붙임,NNG,1
분기,NNG,1
부진,NNG,1
보였으며,VV,1
부산,NNP,1
부문,NNG,1
보합세,NNG,1
변동,NNG,1
보도자료,NNG,1
발생,NNG,1
반면,NNG,1
둔화,NNG,1
마이너스,NNG,1
민간,NNG,1
바랍니다,VV,1
미약,NNG,1
면밀,NNG,1
모습,NNG,1
목표,NNG,1
동월,NNG,1
마찬가지,NNG,1
대구,NNP,1
당초,NNG,1
대전,NNP,1
대체로,MAG,1
더딘,VA,1
독일,NNG,1
국민은행,NNP,1
국채,NNG,1
규모,NNG,1
근원,NNG,1
국방,NNG,1
기간,NNG,1
달러,NNG,1
당분간,MAG,1
나타낼,VV,1
나타내,VV,1
다음,NNG,1
농축수산물,NNG,1
국고채,NNG,1
기자간담회,NNG,1
기성액,NNG,1
cschang,SL,1
연령,NNG,1
에너지,NNG,1
약간,MAG,1
안정,NNG,1
식료품,NNG,1
신흥시장국,NNG,1
시계,NNG,1
수준,NNG,1
소폭,MAG,1
소매,NNG,1
서울,NNP,1
설비투자지수,NNG,1
수치,NNG,1
스페인,NNG,1
수록,NNG,1
서비스,NNG,1
저성장,NNG,1
재정,NNG,1
장정수,NNP,1
장기,NNG,1
잠재력,NNG,1
일평균,NNG,1
인플레이션율,NNG,1
인하,NNG,1
이탈리아,NNG,1
이어졌,VV,1
인터넷,NNG,1
인천,NNP,1
이상,NNG,1
의해,VV,1
유가,NNG,1
위험요인,NNG,1
영향,NNG,1
올랐으며,VV,1
월평균,NNG,1
위험,NNG,1
원달러환율,NNG,1
오름세,NNG,1
요인,NNG,1
울산,NNP,1
시장,NNG,1
전환,NNG,1
제품,NNG,1
정부,NNG,1
전기수,NNG,1
전기,NNG,1
점검,NNG,1
전세가격,NNG,1
지난달,NNG,1
지방,NNG,1
증가세,NNG,1
증감,NNG,1
중심,NNG,1
주로,MAG,1
주택가격,NNG,1
중기,NNG,1
주택,NNG,1
전년동기비,NNG,1
추진,NNG,1
지표,NNG,1
총괄팀,NNP,1
추가경정예산,NNG,1
참조,NNG,1
차장,NNP,1
특이,NNG,1
통화정책국,NNP,1
취업자수증감,NNG,1
통관,NNG,1
취업자수,NNG,1
취급,NNG,1
추이,NNG,1
판매,NNG,1
해외,NNG,1
하방,NNG,1
포시,NNG,1
향후,MAG,1
호전,NNG,1
활동,NNG,1
효과,NNG,1
훼손,NNG,1
